parameter,mean,std
theta10_0_1,0.3375414539826869,0.027923362509594398
theta10_0_2,0.3010354285383524,0.0049532663353818555
theta10_0_3,0.30030575965311185,0.004822732152153901
theta1_0_1,0.3784773790987004,0.012102062043016905
theta1_0_2,0.3041976020400564,0.004315324001379075
theta1_0_3,0.3090039467581331,0.004189802957804395
theta2_0_1,1.4614150508021817,0.05879864156012461
theta2_0_2,1.4947196587654656,0.059965602516373215
theta2_0_3,1.5033722124156434,0.060666594949075
theta2_1_1,0.7754518486261509,0.04579535763815947
theta2_1_2,0.7960692147805111,0.04686974853442983
theta2_1_3,0.8017330225478432,0.047366886773042446
theta3_0_1,0.1037317221496176,0.0003167471969682427
theta3_0_2,0.10125163238176188,0.00025039777774361004
theta3_0_3,0.09991132487481134,0.0002543700832340501
theta3_1_1,0.0007219583097578988,0.0005054640736189086
theta3_1_2,0.00012172992298701071,0.0004951404948341066
theta3_1_3,4.745718510504052e-05,0.0004991982728716164
